,Make,Model,Variant,Ex-Showroom_Price,Displacement,Kerb_Weight,Cylinders,Emission_Norm,Fuel_Tank_Capacity,Fuel_Type,Body_Type,Doors,ARAI_Certified_Mileage,Gears,Ground_Clearance,Power,Torque,Type,Odometer,Speedometer,Tachometer,Seating_Capacity,Start_/_Stop_Button,Audiosystem,Aux-in_Compatibility,Basic_Warranty,Bluetooth,12v_Power_Outlet,Boot-lid_Opener,Boot_Space,Child_Safety_Locks,Extended_Warranty,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Hill_Assist,Airbags,Number_of_Airbags,Parking_Assistance,Infotainment_Screen,Navigation_System,Third_Row_AC_Vents,Second_Row_AC_Vents,Engine_Type,Rain_Sensing_Wipers
253,Mercedes,Mercedes-Benz B-Class,B 200 Cdi Sport,3089851.0,2143.0,1577.0,4.0,BS IV,50.0,Diesel,MPV,5.0,15.0,7,190.0,136PS@4400RPM,300Nm@1600-3000rpm,Automatic,Digital,Analog,Analog,5.0,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,3 years without mileage limit,Not Applicable,Yes,"With Remote, Manual",488.0,Yes,4th year /with ,Internal,Analog,Automatic,Yes,"Driver pelvic airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag, Drive side airbag, Front passenger pelvic airbag, Driver frontal airbag",7.0,Front and rear sensors with camera,Touch Sensitive,Yes,Not Applicable,Yes,Not known,Yes
254,Mercedes,Mercedes-Benz B-Class,B 180 Night Edition,3198662.0,1595.0,1425.0,4.0,BS IV,50.0,Petrol,MPV,5.0,14.81,7,190.0,122PS@5000rpm,200Nm@1250-4000rpm,Automatic,Digital,Analog,Analog,5.0,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,3 years without mileage limit,Yes,Yes,"Internal, With Remote",488.0,Yes,4th year /with ,"With Remote, Manual",Analog,Automatic,Yes,"Driver pelvic airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag, Drive side airbag, Front passenger pelvic airbag",6.0,Rear sensors with camera,Touch Sensitive,Yes,Not Applicable,Yes,Not known,Yes
255,Mercedes,Mercedes-Benz B-Class,B 200 Cdi Night Edition,3303282.0,2143.0,1577.0,4.0,BS IV,50.0,Diesel,MPV,5.0,15.0,7,190.0,136PS@4400RPM,300Nm@1600-3000rpm,Automatic,Digital,Analog,Analog,5.0,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,3 years without mileage limit,Not Applicable,Yes,"With Remote, Manual",488.0,Yes,4th year /with ,Internal,Analog,Automatic,Yes,"Driver pelvic airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag, Drive side airbag, Front passenger pelvic airbag, Driver frontal airbag",6.0,Front and rear sensors with camera,Touch Sensitive,Yes,Not Applicable,Yes,Not known,Yes
256,Mercedes,Mercedes-Benz Cla-Class,200 Sport,3599000.0,1991.0,1510.0,4.0,BS IV,56.0,Petrol,Sedan,4.0,15.04,7,160.0,183PS@5500rpm,300Nm@1200-4000rpm,Automatic,Digital,Analog,Analog,5.0,Yes,DVD Player with USB & Aux-in,Yes,3 years without mileage limit,Yes,Yes,"Internal, With Remote",470.0,Yes,4th year /with ,Internal,Analog,Automatic,Yes,"Drive side airbag, Driver frontal airbag, Curtain airbags, Front passenger frontal airbag, Front passenger side airbag",6.0,Rear sensors with camera,Touch Sensitive,Yes,Not Applicable,Yes,Not known,Yes
257,Mercedes,Mercedes-Benz Cla-Class,200 Cdi Style,3172000.0,2143.0,1570.0,4.0,BS IV,56.0,Diesel,Sedan,4.0,17.9,7,160.0,136PS@4400RPM,300Nm@1600-3000rpm,Automatic,Digital,Analog,Analog,5.0,Yes,DVD Player with USB & Aux-in,Yes,3 years without mileage limit,Yes,Yes,"Internal, With Remote",470.0,Yes,4th year /with ,Internal,Analog,Automatic,Yes,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Curtain airbags, Front passenger side airbag",6.0,Rear sensors with camera,Touch Sensitive,Yes,Not Applicable,Yes,Not known,Yes
258,Mercedes,Mercedes-Benz Cla-Class,200 D Sport,3699000.0,2143.0,1570.0,4.0,BS IV,56.0,Diesel,Sedan,4.0,17.9,7,160.0,136PS@4400RPM,300Nm@1600-3000rpm,Automatic,Digital,Analog,Analog,5.0,Yes,DVD Player with USB & Aux-in,Yes,3 years without mileage limit,Yes,Yes,"Internal, With Remote",470.0,Yes,4th year /with ,Internal,Analog,Automatic,Yes,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Curtain airbags, Front passenger side airbag",6.0,Rear sensors with camera,Touch Sensitive,Yes,Not Applicable,Yes,Not known,Yes
259,Skoda,Kodiaq,Style 2.0 Tdi 4X4 At,3299599.0,1968.0,1565.0,4.0,BS IV,66.0,Diesel,SUV,4.0,18.19,6,149.0,177PS@4000RPM,350Nm@1500-3500rpm,Automatic,Digital,Analog,Analog,5.0,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,3 years without mileage limit,Yes,3,"Internal, With Remote",625.0,Yes,2 years /100000 Kms ,Internal,Digital,Automatic,Yes,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Curtain airbags, Rear passenger side airbags",8.0,Front and rear sensors with camera,Touch Sensitive,Yes,Not Applicable,Yes,Not known,Yes
260,Skoda,Kodiaq,Laurin And Klement,3678599.0,1968.0,1565.0,4.0,BS IV,66.0,Diesel,SUV,4.0,18.19,6,149.0,148bhp@4000RPM,340Nm@1500-3500rpm,Automatic,Digital,Analog,Analog,5.0,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,3 years without mileage limit,Yes,3,"Internal, With Remote",625.0,Yes,2 years /100000 Kms ,Internal,Digital,Automatic,Yes,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Curtain airbags, Rear passenger side airbags",9.0,Front and rear sensors with camera,Touch Sensitive,Yes,Not Applicable,Yes,Not known,Yes
261,Skoda,Kodiaq,Corporate Edition,3299599.0,1968.0,1565.0,4.0,BS IV,66.0,Diesel,SUV,4.0,18.19,6,149.0,177PS@4000RPM,350Nm@1500-3500rpm,Automatic,Digital,Analog,Analog,5.0,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,3 years without mileage limit,Yes,3,"Internal, With Remote",625.0,Yes,2 years /100000 Kms ,Internal,Digital,Automatic,Yes,"Driver head airbag, Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",9.0,Front and rear sensors with camera,Touch Sensitive,Yes,Not Applicable,Yes,Not known,Yes
262,Dc,Avanti,Standard,3407407.0,2000.0,1580.0,4.0,BS IV,60.0,Petrol,Coupe,2.0,10.0,6,170.0,250PS@5500RPM,340NM@2750-5000rpm,Manual,Digital,Analog,Analog,2.0,Yes,CD/MP3 Player,Not Applicable,3 years without mileage limit,Yes,Yes,Internal,625.0,Not Applicable,2 years /100000 Kms ,Internal,Analog,Manual,Not Applicable,Not Applicable,0.0,Not Applicable,Touch Sensitive,Not Applicable,Not Applicable,Not Applicable,Not known,Not Applicable
